season,club,allocation_condition,gam_value
2018,Toronto FC,CCL,200000
2018,Kansas City,CCL,200000
2018,FC Dallas,CCL,200000
2018,Colorado Rapids,CCL,200000
2018,Seattle Sounders,CCL,200000
2019,Atlanta United,CCL,200000
2019,New York Red Bulls,CCL,200000
2019,Kansas City,CCL,200000
2019,Houston,CCL,200000
2019,Toronto FC,CCL,200000
2020,LAFC,CCL,200000
2020,New York City FC,CCL,200000
2020,Atlanta United,CCL,200000
2020,Seattle Sounders,CCL,200000
2020,CF Montreal,CCL,200000
2021,Philadelphia,CCL,200000
2021,Toronto FC,CCL,200000
2021,Columbus Crew,CCL,200000
2021,Atlanta United,CCL,200000
2022,New England,CCL,200000
2022,New York City FC,CCL,200000
2022,CF Montreal,CCL,200000
2022,Colorado Rapids,CCL,200000
2022,Seattle Sounders,CCL,200000
2018,LAFC,Expansion,1100000
2019,FC Cincinnati,Expansion,1100000
2020,Nashville,Expansion,2500000
2020,Inter Miami,Expansion,2500000
2021,Austin FC,Expansion,2500000
2022,Charlotte FC,Expansion,2500000
2018,Seattle Sounders,Expansion Draft,50000
2018,Kansas City,Expansion Draft,50000
2018,San Jose,Expansion Draft,50000
2018,Columbus Crew,Expansion Draft,50000
2018,Toronto FC,Expansion Draft,50000
2019,D.C. United,Expansion Draft,50000
2019,Vancouver Whitecaps,Expansion Draft,50000
2019,FC Dallas,Expansion Draft,50000
2019,Houston,Expansion Draft,50000
2019,New York Red Bulls,Expansion Draft,50000
2020,New York City FC,Expansion Draft,50000
2020,Minnesota,Expansion Draft,50000
2020,FC Cincinnati,Expansion Draft,50000
2020,Portland,Expansion Draft,50000
2020,LAFC,Expansion Draft,50000
2020,New England,Expansion Draft,50000
2020,Columbus Crew,Expansion Draft,50000
2020,Atlanta United,Expansion Draft,50000
2020,Seattle Sounders,Expansion Draft,50000
2020,Kansas City,Expansion Draft,50000
2021,San Jose,Expansion Draft,50000
2021,New York Red Bulls,Expansion Draft,50000
2021,Nashville,Expansion Draft,50000
2021,LA Galaxy,Expansion Draft,50000
2021,Orlando City,Expansion Draft,50000
2022,Austin FC,Expansion Draft,50000
2022,Atlanta United,Expansion Draft,50000
2022,D.C. United,Expansion Draft,50000
2022,LAFC,Expansion Draft,50000
2022,New York City FC,Expansion Draft,50000
2019,Chicago,Leagues Cup,200000
2019,Houston,Leagues Cup,200000
2019,LA Galaxy,Leagues Cup,200000
2019,Real Salt Lake,Leagues Cup,200000
2020,Philadelphia,Leagues Cup,200000
2020,Real Salt Lake,Leagues Cup,200000
2020,Minnesota,Leagues Cup,200000
2020,LA Galaxy,Leagues Cup,200000
2020,Toronto FC,Leagues Cup,200000
2020,D.C. United,Leagues Cup,200000
2020,Portland,Leagues Cup,200000
2020,New York Red Bulls,Leagues Cup,200000
2021,Kansas City,Leagues Cup,200000
2021,Orlando City,Leagues Cup,200000
2021,Seattle Sounders,Leagues Cup,200000
2021,New York City FC,Leagues Cup,200000
2018,New England,No Playoffs,200000
2018,Philadelphia,No Playoffs,200000
2018,CF Montreal,No Playoffs,200000
2018,Orlando City,No Playoffs,200000
2018,D.C. United,No Playoffs,200000
2018,FC Dallas,No Playoffs,200000
2018,Real Salt Lake,No Playoffs,200000
2018,Minnesota,No Playoffs,200000
2018,Colorado Rapids,No Playoffs,200000
2018,LA Galaxy,No Playoffs,200000
2019,CF Montreal,No Playoffs,200000
2019,New England,No Playoffs,200000
2019,Toronto FC,No Playoffs,200000
2019,Chicago,No Playoffs,200000
2019,Orlando City,No Playoffs,200000
2019,LA Galaxy,No Playoffs,200000
2019,Vancouver Whitecaps,No Playoffs,200000
2019,Houston,No Playoffs,200000
2019,Minnesota,No Playoffs,200000
2019,Colorado Rapids,No Playoffs,200000
2019,San Jose,No Playoffs,200000
2020,Chicago,No Playoffs,200000
2020,CF Montreal,No Playoffs,200000
2020,Columbus Crew,No Playoffs,200000
2020,Orlando City,No Playoffs,200000
2020,FC Cincinnati,No Playoffs,200000
2020,San Jose,No Playoffs,200000
2020,Colorado Rapids,No Playoffs,200000
2020,Houston,No Playoffs,200000
2020,Kansas City,No Playoffs,200000
2020,Vancouver Whitecaps,No Playoffs,200000
2021,Chicago,No Playoffs,200000
2021,Atlanta United,No Playoffs,200000
2021,Chicago,No Playoffs,200000
2021,D.C. United,No Playoffs,200000
2021,FC Cincinnati,No Playoffs,200000
2021,Vancouver Whitecaps,No Playoffs,200000
2021,LA Galaxy,No Playoffs,200000
2021,Real Salt Lake,No Playoffs,200000
2021,Houston,No Playoffs,200000
2022,D.C. United,No Playoffs,200000
2022,Columbus Crew,No Playoffs,200000
2022,CF Montreal,No Playoffs,200000
2022,Inter Miami,No Playoffs,200000
2022,Chicago,No Playoffs,200000
2022,Toronto FC,No Playoffs,200000
2022,FC Cincinnati,No Playoffs,200000
2022,LA Galaxy,No Playoffs,200000
2022,LAFC,No Playoffs,200000
2022,San Jose,No Playoffs,200000
2022,FC Dallas,No Playoffs,200000
2022,Austin FC,No Playoffs,200000
2022,Houston,No Playoffs,200000
