season,club,allocation_condition,gam_value
2018,Toronto FC,CCL,200000
2018,Kansas City,CCL,200000
2018,FC Dallas,CCL,200000
2018,Colorado Rapids,CCL,200000
2018,Seattle Sounders,CCL,200000
2019,Atlanta United,CCL,200000
2019,New York Red Bulls,CCL,200000
2019,Kansas City,CCL,200000
2019,Houston,CCL,200000
2019,Toronto FC,CCL,200000
2020,LAFC,CCL,200000
2020,New York City FC,CCL,200000
2020,Atlanta United,CCL,200000
2020,Seattle Sounders,CCL,200000
2020,CF Montreal,CCL,200000
2021,Philadelphia,CCL,200000
2021,Toronto FC,CCL,200000
2021,Columbus Crew,CCL,200000
2021,Atlanta United,CCL,200000
2022,New England,CCL,200000
2022,New York City FC,CCL,200000
2022,CF Montreal,CCL,200000
2022,Colorado Rapids,CCL,200000
2022,Seattle Sounders,CCL,200000
