season,club,allocation_condition,gam_value
2018,Seattle Sounders,Expansion Draft,50000
2018,Kansas City,Expansion Draft,50000
2018,San Jose,Expansion Draft,50000
2018,Columbus Crew,Expansion Draft,50000
2018,Toronto FC,Expansion Draft,50000
2019,D.C. United,Expansion Draft,50000
2019,Vancouver Whitecaps,Expansion Draft,50000
2019,FC Dallas,Expansion Draft,50000
2019,Houston,Expansion Draft,50000
2019,New York Red Bulls,Expansion Draft,50000
2020,New York City FC,Expansion Draft,50000
2020,Minnesota,Expansion Draft,50000
2020,FC Cincinnati,Expansion Draft,50000
2020,Portland,Expansion Draft,50000
2020,LAFC,Expansion Draft,50000
2020,New England,Expansion Draft,50000
2020,Columbus Crew,Expansion Draft,50000
2020,Atlanta United,Expansion Draft,50000
2020,Seattle Sounders,Expansion Draft,50000
2020,Kansas City,Expansion Draft,50000
2021,San Jose,Expansion Draft,50000
2021,New York Red Bulls,Expansion Draft,50000
2021,Nashville,Expansion Draft,50000
2021,LA Galaxy,Expansion Draft,50000
2021,Orlando City,Expansion Draft,50000
2022,Austin FC,Expansion Draft,50000
2022,Atlanta United,Expansion Draft,50000
2022,D.C. United,Expansion Draft,50000
2022,LAFC,Expansion Draft,50000
2022,New York City FC,Expansion Draft,50000
