season,club,allocation_condition,gam_value
2019,Chicago,Leagues Cup,200000
2019,Houston,Leagues Cup,200000
2019,LA Galaxy,Leagues Cup,200000
2019,Real Salt Lake,Leagues Cup,200000
2020,Philadelphia,Leagues Cup,200000
2020,Real Salt Lake,Leagues Cup,200000
2020,Minnesota United,Leagues Cup,200000
2020,LA Galaxy,Leagues Cup,200000
2020,Toronto FC,Leagues Cup,200000
2020,D.C. United,Leagues Cup,200000
2020,Portland Timbers,Leagues Cup,200000
2020,New York Red Bulls,Leagues Cup,200000
2021,Kansas City,Leagues Cup,200000
2021,Orlando City,Leagues Cup,200000
2021,Seattle Sounders,Leagues Cup,200000
2021,New York City FC,Leagues Cup,200000
