transaction_id,transaction_date,club,acquired_asset_type,acquired_asset_value,acquired_asset_id,gam_value,asset_year,tam_value
0,2020-12-29,New York City FC,GAM,$250000 2021 GAM,0,250000,2021,0
0,2020-12-29,New York City FC,GAM,$250000 2022 GAM,1,250000,2022,0
0,2020-12-29,New York City FC,GAM,$100000 2022 GAM (performance bonus),2,100000,2022,0
0,2020-12-29,FC Cincinnati,Player,Ronald Matarrita,3,0,2020,0
1,2020-12-23,New York Red Bulls,GAM,$50000 2021 GAM,4,50000,2021,0
1,2020-12-23,New York Red Bulls,Draft Pick,2021 3rd round pick,5,0,2020,0
1,2020-12-23,Inter Miami,Player,Patrick Seagrist,6,0,2020,0
2,2020-12-18,Chicago,Draft Pick,2022 4th round pick (swap),7,0,2020,0
2,2020-12-18,Charlotte FC,Player,Brandt Bronico,8,0,2020,0
2,2020-12-18,Charlotte FC,Draft Pick,2022 4th round pick (swap),9,0,2020,0
3,2020-12-17,New York City FC,GAM,$500000 2021 GAM,10,500000,2021,0
3,2020-12-17,New York City FC,GAM,$250000 2022 GAM,11,250000,2022,0
3,2020-12-17,New York City FC,GAM,$500000 2022 GAM (performance bonus),12,500000,2022,0
3,2020-12-17,Austin FC,Player,Alexander Ring,13,0,2020,0
4,2020-12-17,Houston,Player,Fafa Picault,14,0,2020,0
4,2020-12-17,FC Dallas,GAM,$275000 2021 GAM,15,275000,2021,0
4,2020-12-17,FC Dallas,GAM,$50000 2021 GAM (performance bonus),16,50000,2021,0
5,2020-12-17,Chicago,GAM,$400000 2021 GAM,17,400000,2021,0
5,2020-12-17,Chicago,GAM,$400000 2022 GAM,18,400000,2022,0
5,2020-12-17,Chicago,GAM,$200000 2022 GAM (performance bonus),19,200000,2022,0
5,2020-12-17,CF Montreal,Player,Djordje Mihailovic,20,0,2020,0
6,2020-12-15,CF Montreal,Player,Kamal Miller,21,0,2020,0
6,2020-12-15,Austin FC,GAM,$225000 2021 GAM,22,225000,2021,0
