season,club,allocation_condition,gam_value
2018,New England,No Playoffs,200000
2018,Philadelphia,No Playoffs,200000
2018,CF Montreal,No Playoffs,200000
2018,Orlando City,No Playoffs,200000
2018,D.C. United,No Playoffs,200000
2018,FC Dallas,No Playoffs,200000
2018,Real Salt Lake,No Playoffs,200000
2018,Minnesota,No Playoffs,200000
2018,Colorado Rapids,No Playoffs,200000
2018,LA Galaxy,No Playoffs,200000
2019,CF Montreal,No Playoffs,200000
2019,New England,No Playoffs,200000
2019,Toronto FC,No Playoffs,200000
2019,Chicago,No Playoffs,200000
2019,Orlando City,No Playoffs,200000
2019,LA Galaxy,No Playoffs,200000
2019,Vancouver Whitecaps,No Playoffs,200000
2019,Houston,No Playoffs,200000
2019,Minnesota,No Playoffs,200000
2019,Colorado Rapids,No Playoffs,200000
2019,San Jose,No Playoffs,200000
2020,Chicago,No Playoffs,200000
2020,CF Montreal,No Playoffs,200000
2020,Columbus Crew,No Playoffs,200000
2020,Orlando City,No Playoffs,200000
2020,FC Cincinnati,No Playoffs,200000
2020,San Jose,No Playoffs,200000
2020,Colorado,No Playoffs,200000
2020,Houston,No Playoffs,200000
2020,Kansas City,No Playoffs,200000
2020,Vancouver Whitecaps,No Playoffs,200000
2021,Chicago,No Playoffs,200000
2021,Atlanta United,No Playoffs,200000
2021,Chicago,No Playoffs,200000
2021,D.C. United,No Playoffs,200000
2021,FC Cincinnati,No Playoffs,200000
2021,Vancouver Whitecaps,No Playoffs,200000
2021,LA Galaxy,No Playoffs,200000
2021,Real Salt Lake,No Playoffs,200000
2021,Houston,No Playoffs,200000
2022,D.C. United,No Playoffs,200000
2022,Columbus Crew,No Playoffs,200000
2022,CF Montreal,No Playoffs,200000
2022,Inter Miami,No Playoffs,200000
2022,Chicago,No Playoffs,200000
2022,Toronto FC,No Playoffs,200000
2022,FC Cincinnati,No Playoffs,200000
2022,LA Galaxy,No Playoffs,200000
2022,LAFC,No Playoffs,200000
2022,San Jose,No Playoffs,200000
2022,FC Dallas,No Playoffs,200000
2022,Austin FC,No Playoffs,200000
2022,Houston,No Playoffs,200000
