season_name,player_id,data.goals_added_raw,minutes_played,total,total_rank,p96,p96_rank,team_id,position,action_type,rank_type,player_name
2024,4JMAoZr1qK,11.1165,2195.0,11.1165,1.0,0.4861886104783599,1.0,All,All,All,total,Kamron Habibullah
2024,wvq9ed47qW,10.656500000000001,2130.0,10.656500000000001,2.0,0.48029295774647895,2.0,All,All,All,total,Brendan McSorley
2024,2vQ1R1wOMr,9.2439,2305.0,9.2439,3.0,0.38499540130151844,9.0,All,All,All,total,Taylor Calheira
2024,KAqBNkeWqb,8.653599999999999,1945.0,8.653599999999999,4.0,0.427118560411311,3.0,All,All,All,total,Christian Koffi
2024,Oa5wAoEWQ1,8.3053,2254.0,8.3053,5.0,0.353730612244898,13.0,All,All,All,total,Ryan Carmichael
2024,9vQ2ZaBoQK,8.108,2117.0,8.108,6.0,0.36767501180916395,11.0,All,All,All,total,Jonathan Jimenez
2024,p6qb3zlDQ0,7.6264,1893.0,7.6264,7.0,0.38675879556259907,8.0,All,All,All,total,Nicolas Fleuriau Chateau
2024,gjMNjWyKMK,7.5841,2443.0,7.5841,8.0,0.2980243962341384,48.0,All,All,All,total,Alexander Freeman
2024,vzqod2ALQa,7.5541,2695.0,7.5541,9.0,0.26908853432282004,80.0,All,All,All,total,Jhon Solis
2024,NWMWlpmD5l,7.4485,2678.0,7.4485,10.0,0.26701120238984316,84.0,All,All,All,total,Jacob Evans
2024,gjMNjWyKMK,7.5841,2443.0,7.5841,1.0,0.2980243962341384,2.0,All,FB,All,total,Alexander Freeman
2024,NPqxA1n8Q9,5.8732,2366.0,5.8732,2.0,0.23830397295012679,7.0,All,FB,All,total,Owen Presthus
2024,NWMWo7zLMl,5.8189,2019.0,5.8189,3.0,0.27667875185735513,4.0,All,FB,All,total,Jesus Batiz
2024,7vQ7xNzdMD,5.6000000000000005,2592.0,5.6000000000000005,4.0,0.20740740740740743,15.0,All,FB,All,total,Francis Westfield
2024,9YqdoolE5v,5.4132,2443.0,5.4132,5.0,0.21271682357756855,12.0,All,FB,All,total,Amir Daley
2024,gpMOalORqz,5.2342,1502.0,5.2342,6.0,0.3345427430093209,1.0,All,FB,All,total,Nicholas Scardina
2024,Pk5LepoOqO,5.2327,2042.0,5.2327,7.0,0.24600352595494612,6.0,All,FB,All,total,Omari Glasgow
2024,jYQJaV2dqG,5.2026,1751.0,5.2026,8.0,0.2852367789834381,3.0,All,FB,All,total,Eliot Goldthorp
2024,N6MmGzLWqE,5.1345,1888.0,5.1345,9.0,0.2610762711864407,5.0,All,FB,All,total,Nathaniel Edwards
2024,Oa5wALnAQ1,4.9448,2354.0,4.9448,10.0,0.20165709430756157,17.0,All,FB,All,total,Travian Sousa
2024,0Oq6LkVdM6,7.0632,2603.0,7.0632,1.0,0.2604945063388398,7.0,All,CB,All,total,Axel Essengue
2024,gpMOoXmEMz,6.3413,2700.0,6.3413,2.0,0.22546844444444447,14.0,All,CB,All,total,Brian Schaefer
2024,Oa5wAAe4Q1,6.1227,2800.0,6.1227,3.0,0.20992114285714283,25.0,All,CB,All,total,Obafemi Awodesu
2024,OlMle3AD5L,5.4975,2435.0,5.4975,4.0,0.21673921971252566,18.0,All,CB,All,total,Thomas Williams
2024,vzqodXlBQa,5.4707,2475.0,5.4707,5.0,0.21219684848484846,22.0,All,CB,All,total,Britton Fischer
2024,2lqRJXZ4qr,5.3321000000000005,1729.0,5.3321000000000005,6.0,0.29605644881434356,4.0,All,CB,All,total,Tyler Clegg
2024,Oa5w0Dw8q1,5.3092,2114.0,5.3092,7.0,0.24109895931882683,11.0,All,CB,All,total,Diego Konincks
2024,KXMegy63q6,5.1617,2471.0,5.1617,8.0,0.20053549170376364,28.0,All,CB,All,total,Keller Storlie
2024,0x5gLdRZq7,4.9576,2066.0,4.9576,9.0,0.23036282671829625,13.0,All,CB,All,total,Finn McRobb
2024,xW5pw0RGMg,4.9473,2626.0,4.9473,10.0,0.18086092916984006,37.0,All,CB,All,total,Nabilai Kibunguchy
2024,wvq9ed47qW,10.656500000000001,2130.0,10.656500000000001,1.0,0.48029295774647895,1.0,All,ST,All,total,Brendan McSorley
2024,2vQ1R1wOMr,9.2439,2305.0,9.2439,2.0,0.38499540130151844,6.0,All,ST,All,total,Taylor Calheira
2024,Oa5wAoEWQ1,8.3053,2254.0,8.3053,3.0,0.353730612244898,9.0,All,ST,All,total,Ryan Carmichael
2024,p6qb3zlDQ0,7.6264,1893.0,7.6264,4.0,0.38675879556259907,5.0,All,ST,All,total,Nicolas Fleuriau Chateau
2024,e7MzJBv7Mr,7.3992,1847.0,7.3992,5.0,0.38458213318895507,7.0,All,ST,All,total,Julian Altobelli
2024,eVq3yvnvMW,7.342599999999999,1928.0,7.342599999999999,6.0,0.36560663900414936,8.0,All,ST,All,total,Edward Davis
2024,Vj58Wlp4M8,7.2835,2770.0,7.2835,7.0,0.2524245487364621,42.0,All,ST,All,total,David Poreba
2024,gOMnlYO6qw,6.3928,2040.0,6.3928,8.0,0.30083764705882354,26.0,All,ST,All,total,Roberto Avila
2024,7vQ7eNPO5D,6.3666,1482.0,6.3666,9.0,0.4124113360323887,3.0,All,ST,All,total,Mohammed Sofo
2024,9YqdW9a85v,5.926599999999999,1846.0,5.926599999999999,10.0,0.3082088840736727,23.0,All,ST,All,total,Aaron Bibout
2024,4JMAoZr1qK,11.1165,2195.0,11.1165,1.0,0.4861886104783599,1.0,All,W,All,total,Kamron Habibullah
2024,KAqBNkeWqb,8.653599999999999,1945.0,8.653599999999999,2.0,0.427118560411311,2.0,All,W,All,total,Christian Koffi
