position,action_type,season,pct,p96,pSzn
W,Dribbling,2016,0.01,-0.0667570177970178,-0.40941
W,Dribbling,2016,0.02,-0.06477329485329485,-0.35442
W,Dribbling,2016,0.03,-0.06335627386777529,-0.329355
W,Dribbling,2016,0.04,-0.062101167727456684,-0.31284
W,Dribbling,2016,0.05,-0.061146425287957724,-0.300275
W,Dribbling,2016,0.060000000000000005,-0.060431973809114484,-0.29087
W,Dribbling,2016,0.06999999999999999,-0.05898785935901954,-0.27848000000000006
W,Dribbling,2016,0.08,-0.05608441896642115,-0.26012
W,Dribbling,2016,0.09,-0.05315840390879479,-0.243445
W,Dribbling,2016,0.09999999999999999,-0.05005179153094463,-0.24025
W,Dribbling,2016,0.11,-0.046945179153094464,-0.237055
W,Dribbling,2016,0.12,-0.04425257142857143,-0.23254
W,Dribbling,2016,0.13,-0.04161171428571428,-0.22786
W,Dribbling,2016,0.14,-0.039947570032573286,-0.21468999999999996
W,Dribbling,2016,0.15000000000000002,-0.03877178222429036,-0.19727499999999995
W,Dribbling,2016,0.16,-0.037445162208794014,-0.1873
W,Dribbling,2016,0.17,-0.03593000193428088,-0.18662499999999999
W,Dribbling,2016,0.18000000000000002,-0.03392097104649094,-0.18315999999999993
W,Dribbling,2016,0.19,-0.030183393012232253,-0.16992999999999997
W,Dribbling,2016,0.2,-0.026445814977973568,-0.1567
W,Dribbling,2016,0.21000000000000002,-0.025552109607625835,-0.15476499999999999
W,Dribbling,2016,0.22,-0.024658404237278112,-0.15283
W,Dribbling,2016,0.23,-0.023138144705786606,-0.14799
W,Dribbling,2016,0.24000000000000002,-0.021438869699682582,-0.14231999999999997
W,Dribbling,2016,0.25,-0.01970483704974271,-0.136225
W,Dribbling,2016,0.26,-0.01794299828473413,-0.12979
W,Dribbling,2016,0.27,-0.016185285714815718,-0.12407499999999999
W,Dribbling,2016,0.28,-0.014435825535077615,-0.11979999999999999
W,Dribbling,2016,0.29000000000000004,-0.012763285755340548,-0.11326999999999997
W,Dribbling,2016,0.3,-0.011706109175611698,-0.0887
W,Dribbling,2016,0.31,-0.01064893259588285,-0.06413000000000005
W,Dribbling,2016,0.32,-0.010249175044419983,-0.0606
W,Dribbling,2016,0.33,-0.009931594871490364,-0.059699999999999996
W,Dribbling,2016,0.34,-0.008086585798264436,-0.0576
W,Dribbling,2016,0.35000000000000003,-0.005477862274890372,-0.05490000000000001
W,Dribbling,2016,0.36000000000000004,-0.004024670569186699,-0.052299999999999985
W,Dribbling,2016,0.37,-0.004015893635571055,-0.04982500000000001
W,Dribbling,2016,0.38,-0.0039841210096160035,-0.04785
W,Dribbling,2016,0.39,-0.0038718634604730266,-0.047625
W,Dribbling,2016,0.4,-0.0037596059113300497,-0.0474
W,Dribbling,2016,0.41000000000000003,-0.003634516860209673,-0.04038000000000001
W,Dribbling,2016,0.42000000000000004,-0.003509427809089294,-0.03335999999999991
W,Dribbling,2016,0.43,-0.0033960829132268296,-0.029489999999999992
W,Dribbling,2016,0.44,-0.0032860934902951963,-0.026519999999999995
W,Dribbling,2016,0.45,-0.003133633848990882,-0.02035
W,Dribbling,2016,0.46,-0.0029471980329884235,-0.011620000000000012
W,Dribbling,2016,0.47000000000000003,-0.002724632655961348,-0.005635000000000001
W,Dribbling,2016,0.48000000000000004,-0.002429808156885033,-0.005139999999999994
W,Dribbling,2016,0.49,-0.0021345787193066917,-0.004534999999999998
W,Dribbling,2016,0.5,-0.0018361097737120847,-0.0030499999999999998
W,Dribbling,2016,0.51,-0.0015376408281174776,-0.0015650000000000024
W,Dribbling,2016,0.52,-0.0010707673752449849,-0.0013599999999999997
W,Dribbling,2016,0.53,-0.0005828433589627603,-0.0013149999999999998
W,Dribbling,2016,0.54,0.0003458585858585878,-0.0007299999999999987
W,Dribbling,2016,0.55,0.001494949494949504,0.00012500000000000678
W,Dribbling,2016,0.56,0.002224896755162243,0.0017000000000000157
W,Dribbling,2016,0.5700000000000001,0.0024309144542772874,0.004175000000000012
W,Dribbling,2016,0.5800000000000001,0.0027608022376083294,0.006640000000000008
W,Dribbling,2016,0.59,0.00352423531569535,0.009069999999999984
W,Dribbling,2016,0.6,0.004287668393782383,0.0115
W,Dribbling,2016,0.61,0.00498057055775678,0.02571999999999998
W,Dribbling,2016,0.62,0.005673472721731177,0.039939999999999955
W,Dribbling,2016,0.63,0.008467755353787467,0.051850000000000035
W,Dribbling,2016,0.64,0.011862432405295702,0.06310000000000002
