season_name,team_id,general_position,total_avg,p96_avg,p96_weighted_avg,total_avg_rank,p96_avg_rank,p96_weighted_avg_rank
2016,4JMAk47qKg,CB,1.02345,0.07026985991609187,0.07000441752760955,9.0,9.0,9.0
2016,4JMAk47qKg,CM,1.25502,0.12017085570386907,0.14823070866141733,5.0,3.0,3.0
2016,4JMAk47qKg,DM,1.4131,0.11371131601005868,0.11371131601005868,5.0,4.0,4.0
2016,4JMAk47qKg,FB,1.2634199999999998,0.09678187012034599,0.11891011764705882,4.0,6.0,3.0
2016,4JMAk47qKg,GK,-2.6766,-0.21781104087936506,-0.2650372356884992,8.0,8.0,7.0
2016,4JMAk47qKg,ST,1.5800333333333334,0.1390712976780786,0.14575579756566306,7.0,8.0,8.0
2016,4JMAk47qKg,W,2.30975,0.2531304627723381,0.2857422680412371,2.0,1.0,1.0
2016,4wM4Ezg5jB,AM,1.3728500000000001,0.15494422381348877,0.15496014109347442,2.0,2.0,2.0
2016,4wM4Ezg5jB,CB,1.61235,0.08872099932909491,0.0939518057663126,4.0,5.0,5.0
2016,4wM4Ezg5jB,DM,0.777525,0.06837452040851671,0.08611756561869051,8.0,8.0,7.0
2016,4wM4Ezg5jB,FB,0.81354,0.07631455954040442,0.08221035789473685,8.0,8.0,8.0
2016,4wM4Ezg5jB,GK,-3.111966666666667,-0.0471251998830442,-0.46222093862815883,10.0,4.0,10.0
2016,4wM4Ezg5jB,ST,0.7601000000000001,0.1154175022050883,0.12127911357340719,10.0,10.0,9.0
2016,4wM4Ezg5jB,W,0.93295,0.18532630936289707,0.12313913840513291,9.0,3.0,9.0
2016,7vQ7BBzqD1,CB,2.2341333333333337,0.1343027074116419,0.13179647685374848,1.0,1.0,1.0
2016,7vQ7BBzqD1,DM,2.7272,0.15385791154042708,0.14844709884709884,2.0,1.0,2.0
2016,7vQ7BBzqD1,FB,0.7164999999999999,0.07514185854835309,0.0715506241331484,9.0,9.0,9.0
2016,7vQ7BBzqD1,GK,-0.08960000000000001,-0.07127865167387079,-0.013322044398554465,2.0,7.0,2.0
2016,7vQ7BBzqD1,ST,0.8282333333333334,0.12611009223359393,0.09028433005299014,9.0,9.0,10.0
2016,7vQ7BBzqD1,W,0.9487,0.14312604747766558,0.17399737991266376,8.0,6.0,5.0
2016,KPqjw8PQ6v,CB,1.4917333333333334,0.11043537607010294,0.10342301396244583,5.0,3.0,4.0
2016,KPqjw8PQ6v,CM,1.5989666666666666,0.09652048828349998,0.16523229278794402,2.0,4.0,2.0
2016,KPqjw8PQ6v,DM,2.9246,0.13837437161163135,0.13837437161163135,1.0,3.0,3.0
2016,KPqjw8PQ6v,FB,2.118366666666667,0.1314145190077178,0.14804406697403544,1.0,2.0,1.0
2016,KPqjw8PQ6v,GK,0.26550000000000007,-0.004207747503937778,0.024805839416058396,1.0,1.0,1.0
2016,KPqjw8PQ6v,ST,1.7417333333333331,0.15916255584472394,0.1836760161113145,6.0,6.0,6.0
2016,KPqjw8PQ6v,W,0.5695333333333333,0.07834236621824354,0.08213600400600903,10.0,10.0,10.0
2016,Pk5LeeNqOW,AM,0.9512,0.08137540870988588,0.0866779307071666,3.0,3.0,4.0
2016,Pk5LeeNqOW,CB,1.6667,0.08357156372926622,0.08712398584263545,3.0,8.0,7.0
2016,Pk5LeeNqOW,DM,1.978025,0.14848342576695414,0.17076474820143886,3.0,2.0,1.0
2016,Pk5LeeNqOW,FB,0.43074985099999996,0.06356948696308413,0.06358175774899097,10.0,10.0,10.0
2016,Pk5LeeNqOW,GK,-0.64465,-0.033334894446427094,-0.059477558865929835,4.0,3.0,4.0
2016,Pk5LeeNqOW,ST,2.3354,0.22263992055610723,0.22263992055610723,3.0,3.0,5.0
2016,Pk5LeeNqOW,W,1.9472200000000002,0.12362418650303464,0.2141763519706691,3.0,8.0,3.0
2016,XVqKeVKM01,CB,1.17395,0.09783854536462427,0.0898538568865856,7.0,4.0,6.0
