team_id,minutes,zone,season_name,game_state,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
0KPqjA456v,383,1,2021,-2,Dribbling,7,-0.0458,5,-0.0122
0KPqjA456v,383,1,2021,-2,Fouling,1,0.0018,2,0.005
0KPqjA456v,383,1,2021,-2,Passing,18,0.0345,16,0.0455
0KPqjA456v,383,1,2021,-2,Receiving,9,-0.0006,8,-0.0011
19vQ2095K6,158,1,2021,-2,Dribbling,4,0.0029,2,0.0047
19vQ2095K6,158,1,2021,-2,Fouling,1,-0.0011,0,0.0
19vQ2095K6,158,1,2021,-2,Passing,8,0.0396,7,0.0092
19vQ2095K6,158,1,2021,-2,Receiving,5,0.0005,4,0.0002
9z5k7Yg5A3,44,1,2021,-2,Dribbling,1,-0.0003,1,-0.0004
9z5k7Yg5A3,44,1,2021,-2,Passing,2,-0.0002,3,-0.0052
9z5k7Yg5A3,44,1,2021,-2,Receiving,2,-0.0004,3,0.0003
a2lqR4JMr0,206,1,2021,-2,Dribbling,2,0.0008,6,-0.0012
a2lqR4JMr0,206,1,2021,-2,Fouling,1,0.0021,1,0.0028
a2lqR4JMr0,206,1,2021,-2,Passing,10,0.0021,18,0.0181
a2lqR4JMr0,206,1,2021,-2,Receiving,4,-0.0004,6,0.0012
a2lqRX2Mr0,150,1,2021,-2,Dribbling,0,0.0,1,0.0025
a2lqRX2Mr0,150,1,2021,-2,Fouling,0,0.0,2,0.0031
a2lqRX2Mr0,150,1,2021,-2,Passing,9,0.0454,14,0.0596
a2lqRX2Mr0,150,1,2021,-2,Receiving,2,0.001,6,0.0004
APk5LGOMOW,179,1,2021,-2,Dribbling,4,0.0147,1,0.0007
APk5LGOMOW,179,1,2021,-2,Passing,10,0.0165,7,0.0118
APk5LGOMOW,179,1,2021,-2,Receiving,7,-0.0003,2,0.0003
EKXMeX3Q64,281,1,2021,-2,Dribbling,5,0.0055,3,0.0039
EKXMeX3Q64,281,1,2021,-2,Fouling,0,0.0,3,0.0097
EKXMeX3Q64,281,1,2021,-2,Passing,14,0.0384,14,0.0152
