position,action_type,season,pct,p96,pSzn
CB,Dribbling,2017,0.01,-0.0727624785675529,-0.750481
CB,Dribbling,2017,0.02,-0.04694527703875073,-0.6061960000000001
CB,Dribbling,2017,0.03,-0.041756461759187735,-0.453407
CB,Dribbling,2017,0.04,-0.03459105452264683,-0.410904
CB,Dribbling,2017,0.05,-0.03222732225048183,-0.34629
CB,Dribbling,2017,0.060000000000000005,-0.030404624373315012,-0.33113200000000004
CB,Dribbling,2017,0.06999999999999999,-0.028314345864661656,-0.283642
CB,Dribbling,2017,0.08,-0.02511444387092181,-0.280172
CB,Dribbling,2017,0.09,-0.023926663649015283,-0.266358
CB,Dribbling,2017,0.09999999999999999,-0.02325886595820983,-0.25653
CB,Dribbling,2017,0.11,-0.02172812116973554,-0.238962
CB,Dribbling,2017,0.12,-0.021414793726782407,-0.234816
CB,Dribbling,2017,0.13,-0.018188052328002118,-0.222562
CB,Dribbling,2017,0.14,-0.01687831500125562,-0.214718
CB,Dribbling,2017,0.15000000000000002,-0.016468745901480317,-0.210175
CB,Dribbling,2017,0.16,-0.01600245881702598,-0.20206
CB,Dribbling,2017,0.17,-0.015791193113529313,-0.192025
CB,Dribbling,2017,0.18000000000000002,-0.015019281508023051,-0.1783079999999999
CB,Dribbling,2017,0.19,-0.014377705551086082,-0.166439
CB,Dribbling,2017,0.2,-0.013719711244341123,-0.15846
CB,Dribbling,2017,0.21000000000000002,-0.012785278395832454,-0.15575199999999997
CB,Dribbling,2017,0.22,-0.011486048897228792,-0.153808
CB,Dribbling,2017,0.23,-0.011021685529816284,-0.150686
CB,Dribbling,2017,0.24000000000000002,-0.010779659904885169,-0.13839199999999996
CB,Dribbling,2017,0.25,-0.010459142706553742,-0.1208
CB,Dribbling,2017,0.26,-0.009663872051179528,-0.114618
CB,Dribbling,2017,0.27,-0.00915675356197664,-0.10163099999999996
CB,Dribbling,2017,0.28,-0.008456821338721691,-0.08664399999999994
CB,Dribbling,2017,0.29000000000000004,-0.007415323146596618,-0.08213299999999997
CB,Dribbling,2017,0.3,-0.006929694816580525,-0.07328000000000004
CB,Dribbling,2017,0.31,-0.0057488474992997435,-0.068598
CB,Dribbling,2017,0.32,-0.004950028077227779,-0.061044
CB,Dribbling,2017,0.33,-0.004098695982556948,-0.054367999999999986
CB,Dribbling,2017,0.34,-0.003742477544799435,-0.04580599999999999
CB,Dribbling,2017,0.35000000000000003,-0.0032244475160582166,-0.04399
CB,Dribbling,2017,0.36000000000000004,-0.0028990145253450245,-0.03732399999999991
CB,Dribbling,2017,0.37,-0.002625150071258907,-0.02883199999999999
