year,club,gam_delta,base_gam,available_gam
2020,New York City FC,0.0,1525000,1525000.0
2020,FC Cincinnati,0.0,1525000,1525000.0
2020,New York Red Bulls,50000.0,1525000,1575000.0
2020,Inter Miami,100000.0,1525000,1625000.0
2020,Chicago,0.0,1525000,1525000.0
2020,Charlotte FC,0.0,1525000,1525000.0
2020,Austin FC,-850000.0,1525000,675000.0
2020,Houston,-350000.0,1525000,1175000.0
2020,FC Dallas,325000.0,1525000,1850000.0
2020,CF Montreal,-750000.0,1525000,775000.0
2020,Portland,550000.0,1525000,2075000.0
2020,LAFC,525000.0,1525000,2050000.0
2020,Atlanta United,875000.0,1525000,2400000.0
2020,San Jose,575000.0,1525000,2100000.0
2020,Columbus Crew,-200000.0,1525000,1325000.0
2020,Vancouver Whitecaps,125000.0,1525000,1650000.0
2020,Minnesota,300000.0,1525000,1825000.0
2020,Seattle Sounders,-250000.0,1525000,1275000.0
2020,Nashville,-325000.0,1525000,1200000.0
2020,D.C. United,-650000.0,1525000,875000.0
2020,Colorado Rapids,-75000.0,1525000,1450000.0
2020,New England,-25000.0,1525000,1500000.0
2020,Philadelphia,50000.0,1525000,1575000.0
2020,Kansas City,0.0,1525000,1525000.0
2020,LA Galaxy,0.0,1525000,1525000.0
2020,Real Salt Lake,0.0,1525000,1525000.0
2020,Orlando City,0.0,1525000,1525000.0
2020,Toronto FC,0.0,1525000,1525000.0
2021,New York City FC,950000.0,1525000,2475000.0
2021,FC Cincinnati,775000.0,1525000,2300000.0
2021,New York Red Bulls,-1400000.0,1525000,125000.0
2021,Inter Miami,1425000.0,1525000,2950000.0
2021,Chicago,400000.0,1525000,1925000.0
2021,Charlotte FC,725000.0,1525000,2250000.0
2021,Austin FC,-500000.0,1525000,1025000.0
2021,Houston,-743675.0,1525000,781325.0
2021,FC Dallas,0.0,1525000,1525000.0
2021,CF Montreal,-1050000.0,1525000,475000.0
2021,Portland,1167000.0,1525000,2692000.0
2021,LAFC,493675.0,1525000,2018675.0
2021,Atlanta United,250000.0,1525000,1775000.0
2021,San Jose,-1167000.0,1525000,358000.0
2021,Columbus Crew,-200000.0,1525000,1325000.0
2021,Vancouver Whitecaps,-875000.0,1525000,650000.0
2021,Minnesota,-200000.0,1525000,1325000.0
2021,Seattle Sounders,-50000.0,1525000,1475000.0
2021,Nashville,525000.0,1525000,2050000.0
2021,D.C. United,-400000.0,1525000,1125000.0
2021,Colorado Rapids,-850000.0,1525000,675000.0
2021,New England,125000.0,1525000,1650000.0
2021,Philadelphia,0.0,1525000,1525000.0
2021,Kansas City,100000.0,1525000,1625000.0
2021,LA Galaxy,0.0,1525000,1525000.0
2021,Real Salt Lake,500000.0,1525000,2025000.0
2021,Orlando City,0.0,1525000,1525000.0
2021,Toronto FC,0.0,1525000,1525000.0
2022,New York City FC,1300000.0,1625000,2925000.0
2022,FC Cincinnati,-525000.0,1625000,1100000.0
2022,New York Red Bulls,50000.0,1625000,1675000.0
2022,Inter Miami,-225000.0,1625000,1400000.0
2022,Chicago,-975000.0,1625000,650000.0
2022,Charlotte FC,-850000.0,1625000,775000.0
2022,Austin FC,-700000.0,1625000,925000.0
2022,Houston,-631325.0,1625000,993675.0
2022,FC Dallas,-2450000.0,1625000,-825000.0
2022,CF Montreal,-600000.0,1625000,1025000.0
2022,Portland,100000.0,1625000,1725000.0
2022,LAFC,-1143675.0,1625000,481325.0
2022,Atlanta United,300000.0,1625000,1925000.0
2022,San Jose,-450000.0,1625000,1175000.0
2022,Columbus Crew,1725000.0,1625000,3350000.0
2022,Vancouver Whitecaps,200000.0,1625000,1825000.0
2022,Minnesota,-100000.0,1625000,1525000.0
2022,Seattle Sounders,900000.0,1625000,2525000.0
2022,Nashville,475000.0,1625000,2100000.0
2022,D.C. United,1975000.0,1625000,3600000.0
2022,Colorado Rapids,-400000.0,1625000,1225000.0
2022,New England,0.0,1625000,1625000.0
2022,Philadelphia,2025000.0,1625000,3650000.0
2022,Kansas City,0.0,1625000,1625000.0
2022,LA Galaxy,-500000.0,1625000,1125000.0
2022,Real Salt Lake,0.0,1625000,1625000.0
2022,Orlando City,-100000.0,1625000,1525000.0
2022,Toronto FC,600000.0,1625000,2225000.0
2023,New York City FC,0.0,1900000,1900000.0
2023,FC Cincinnati,400000.0,1900000,2300000.0
2023,New York Red Bulls,0.0,1900000,1900000.0
2023,Inter Miami,-50000.0,1900000,1850000.0
2023,Chicago,-1575000.0,1900000,325000.0
2023,Charlotte FC,-150000.0,1900000,1750000.0
2023,Austin FC,50000.0,1900000,1950000.0
2023,Houston,50000.0,1900000,1950000.0
2023,FC Dallas,0.0,1900000,1900000.0
2023,CF Montreal,0.0,1900000,1900000.0
2023,Portland,0.0,1900000,1900000.0
2023,LAFC,-600000.0,1900000,1300000.0
2023,Atlanta United,175000.0,1900000,2075000.0
2023,San Jose,0.0,1900000,1900000.0
2023,Columbus Crew,0.0,1900000,1900000.0
2023,Vancouver Whitecaps,250000.0,1900000,2150000.0
2023,Minnesota,700000.0,1900000,2600000.0
2023,Seattle Sounders,175000.0,1900000,2075000.0
2023,Nashville,325000.0,1900000,2225000.0
2023,D.C. United,0.0,1900000,1900000.0
2023,Colorado Rapids,-400000.0,1900000,1500000.0
2023,New England,0.0,1900000,1900000.0
2023,Philadelphia,1575000.0,1900000,3475000.0
2023,Kansas City,0.0,1900000,1900000.0
2023,LA Galaxy,-750000.0,1900000,1150000.0
2023,Real Salt Lake,0.0,1900000,1900000.0
2023,Orlando City,-175000.0,1900000,1725000.0
2023,Toronto FC,0.0,1900000,1900000.0
2024,New York City FC,0.0,2585000,2585000.0
2024,FC Cincinnati,0.0,2585000,2585000.0
2024,New York Red Bulls,0.0,2585000,2585000.0
2024,Inter Miami,0.0,2585000,2585000.0
2024,Chicago,0.0,2585000,2585000.0
2024,Charlotte FC,0.0,2585000,2585000.0
2024,Austin FC,0.0,2585000,2585000.0
2024,Houston,0.0,2585000,2585000.0
2024,FC Dallas,0.0,2585000,2585000.0
2024,CF Montreal,0.0,2585000,2585000.0
2024,Portland,0.0,2585000,2585000.0
2024,LAFC,-250000.0,2585000,2335000.0
2024,Atlanta United,0.0,2585000,2585000.0
2024,San Jose,0.0,2585000,2585000.0
2024,Columbus Crew,0.0,2585000,2585000.0
2024,Vancouver Whitecaps,250000.0,2585000,2835000.0
2024,Minnesota,0.0,2585000,2585000.0
2024,Seattle Sounders,0.0,2585000,2585000.0
2024,Nashville,0.0,2585000,2585000.0
2024,D.C. United,0.0,2585000,2585000.0
2024,Colorado Rapids,0.0,2585000,2585000.0
2024,New England,0.0,2585000,2585000.0
2024,Philadelphia,0.0,2585000,2585000.0
2024,Kansas City,0.0,2585000,2585000.0
2024,LA Galaxy,0.0,2585000,2585000.0
2024,Real Salt Lake,0.0,2585000,2585000.0
2024,Orlando City,0.0,2585000,2585000.0
2024,Toronto FC,0.0,2585000,2585000.0
2025,New York City FC,0.0,2930000,2930000.0
2025,FC Cincinnati,0.0,2930000,2930000.0
2025,New York Red Bulls,0.0,2930000,2930000.0
2025,Inter Miami,0.0,2930000,2930000.0
2025,Chicago,0.0,2930000,2930000.0
2025,Charlotte FC,0.0,2930000,2930000.0
2025,Austin FC,0.0,2930000,2930000.0
2025,Houston,0.0,2930000,2930000.0
2025,FC Dallas,0.0,2930000,2930000.0
2025,CF Montreal,0.0,2930000,2930000.0
2025,Portland,0.0,2930000,2930000.0
2025,LAFC,-250000.0,2930000,2680000.0
2025,Atlanta United,0.0,2930000,2930000.0
2025,San Jose,0.0,2930000,2930000.0
2025,Columbus Crew,0.0,2930000,2930000.0
2025,Vancouver Whitecaps,250000.0,2930000,3180000.0
